Date,Openings,Hires,Labor_Force,Unemployment_Rate,Hourly_Wage,LH_Employment,State,ln_Wage,Hiring_Rate,Friction_Proxy,LH_Share
2015-01-01,587.0,497.0,18818212.0,6.8,28.14,13692.9,CA,3.337192051686243,0.02641058566031672,0.004782601025007052,0.0007276408619479895
2015-02-01,605.0,520.0,18826972.0,6.7,28.24,13777.4,CA,3.3407394126250414,0.02761994865664006,0.004514799299643086,0.0007317905396576783
2015-03-01,584.0,517.0,18838028.0,6.6,28.12,13852.2,CA,3.336481066942464,0.027444486227539314,0.0035566355459286927,0.000735331744915126
2015-04-01,584.0,548.0,18848322.0,6.5,28.01,13915.3,CA,3.332561589272017,0.029074206181324787,0.0019099843476782707,0.0007382779220346511
2015-05-01,596.0,515.0,18852828.0,6.4,28.06,13977.4,CA,3.3343450746743146,0.027316856654078635,0.0042964376485055715,0.0007413954023237256
2015-06-01,568.0,558.0,18848420.0,6.3,27.96,13992.8,CA,3.3307749173656096,0.029604603462783617,0.0005305484491538283,0.0007423858339319688
2015-07-01,644.0,547.0,18839426.0,6.1,28.0,13902.4,CA,3.332204510175204,0.02903485488358297,0.005148776825790765,0.0007379418035347786
2015-08-01,541.0,543.0,18832394.0,6.0,28.16,13982.5,CA,3.3379025312898416,0.028833296499637805,-0.00010619998710732156,0.0007424706598640619
2015-09-01,575.0,576.0,18832610.0,5.9,27.97,14054.6,CA,3.3311325072138684,0.03058524548641957,-5.3099384525033974e-05,0.0007462906097455425
2015-10-01,607.0,572.0,18846578.0,5.8,28.21,14246.1,CA,3.339676525013905,0.03035033733975473,0.0018571010609989781,0.0007558984978599298
2015-11-01,569.0,567.0,18875380.0,5.8,28.5,14352.3,CA,3.349904087274605,0.030039130338038227,0.00010595813170383854,0.000760371446826501
2015-12-01,600.0,572.0,18910415.0,5.7,28.37,14384.3,CA,3.34533224882076,0.030247881921152974,0.0014806655485879077,0.0007606549089483229
2016-01-01,649.0,588.0,18943234.0,5.7,28.61,14117.7,CA,3.3537563070620187,0.031040106457007288,0.003220147098431028,0.0007452634539593399
2016-02-01,633.0,591.0,18970382.0,5.6,28.67,14214.0,CA,3.3558512798952784,0.031153827055248544,0.002213977557225785,0.0007492732618668407
2016-03-01,667.0,521.0,18990181.0,5.6,28.57,14240.7,CA,3.3523572162426816,0.02743523087010071,0.00768818369872304,0.0007498980657425014
2016-04-01,660.0,557.0,19006193.0,5.5,28.74,14366.8,CA,3.358289880650879,0.029306237182796156,0.005419286229493723,0.000755900984484373
2016-05-01,624.0,603.0,19024146.0,5.5,29.08,14407.0,CA,3.3700506526653187,0.031696560781230336,0.0011038603257144894,0.0007573007482175547
2016-06-01,623.0,567.0,19044461.0,5.5,28.7,14380.1,CA,3.3568971227655755,0.029772436195490123,0.0029404875254805058,0.0007550804404493254
