Date,State,Openings,Hires,Labor_Force,Unemployment_Rate,Hourly_Wage,LH_Employment,ln_Wage,Hiring_Rate,Friction_Proxy,LH_Share,Real_Wage,ln_Real_Wage,Friction_Lag3,Friction_x_Education,Labor_Tightness,ln_Tightness,Educ_Attainment,ln_Education,Min_Wage,ln_Min_Wage,Post_2021
2015-04-01,AZ,130.0,102.0,3101717.0,6.2,23.13,2343.1,3.141130476243348,0.0328850117531676,0.00902725812832054,0.0007554203043024,22.985573358958945,3.134866773865886,-0.00614733943149405,-0.0209491610380448,0.0006760043529272,-7.299311042700579,30.2,3.407841924380824,8.05,2.0856720914304723,0
2015-05-01,AZ,111.0,117.0,3106411.0,6.2,23.02,2332.2,3.1363634032937364,0.0376640438113308,-0.0019314894262220936,0.0007507699399725,22.801068096759085,3.1268073812122217,0.0006464493928708914,0.0022029973430159537,0.0005763315223404,-7.458827503220433,30.2,3.407841924380824,8.05,2.0856720914304723,0
2015-06-01,AZ,84.0,119.0,3110554.0,6.1,22.99,2276.5,3.1350593387750902,0.038256850708909,-0.011252014914385025,0.0007318631986456,22.708498087579997,3.12273921952186,0.00032285611432980723,0.0011002426019558055,0.0004427022261397,-7.722613189687345,30.2,3.407841924380824,8.05,2.0856720914304723,0
2015-07-01,AZ,124.0,109.0,3113926.0,6.1,23.05,2261.6,3.1376657694426577,0.0350040431275502,0.004817070155167464,0.0007262857241951,22.73170366418243,3.123760587285433,0.00902725812832054,0.030763468711898303,0.0006528051357822,-7.334231887031817,30.2,3.407841924380824,8.05,2.0856720914304723,0
2015-08-01,AZ,102.0,109.0,3116760.0,6.1,23.39,2312.5,3.152308580596088,0.0349722147358153,-0.0022459220472541997,0.0007419563906107,23.06710552738486,3.1384075995282057,-0.0019314894262220936,-0.006582210643177913,0.0005364966014518,-7.530450330579339,30.2,3.407841924380824,8.05,2.0856720914304723,0
2015-09-01,AZ,102.0,126.0,3119596.0,6.0,23.29,2345.7,3.1480240838962494,0.0403898453517699,-0.007693303876527602,0.0007519242876321,23.020225980850366,3.13637321996364,-0.011252014914385025,-0.0383450881589996,0.0005449423579207,-7.5148305341776815,30.2,3.407841924380824,8.05,2.0856720914304723,0
2015-10-01,AZ,120.0,117.0,3123660.0,5.9,23.33,2382.9,3.1497400860333387,0.0374560611590249,0.0009604118245903844,0.0007628551122721,23.03696798509252,3.137100229298683,0.004817070155167464,0.016415813627463322,0.0006511266607392,-7.336806371333166,30.2,3.407841924380824,8.05,2.0856720914304723,0
2015-11-01,AZ,109.0,120.0,3129489.0,5.9,23.45,2412.1,3.1548704948922883,0.0383449182917722,-0.003514950843412455,0.0007707648117631,23.12783183554116,3.1410367336542815,-0.0022459220472541997,-0.007653747311524071,0.0005903384313281,-7.434814573096666,30.2,3.407841924380824,8.05,2.0856720914304723,0
2015-12-01,AZ,117.0,125.0,3136316.0,5.8,23.23,2413.9,3.145444546782318,0.0398556778079759,-0.002550763379710463,0.0007696609652853,22.93552268875047,3.1326869177938277,-0.007693303876527602,-0.026217563487432274,0.0006431881797976,-7.349073217448602,30.2,3.407841924380824,8.05,2.0856720914304723,0
2016-01-01,AZ,133.0,122.0,3143360.0,5.7,23.41,2363.5,3.153163281502819,0.0388119719026773,0.0034994400895856665,0.000751902422885,23.12384187804016,3.1408642011947814,0.0009604118245903844,0.0032729316805101935,0.0007423054735484,-7.205749710099301,30.2,3.407841924380824,8.05,2.0856720914304723,0
2016-02-01,AZ,98.0,102.0,3150141.0,5.7,23.48,2389.7,3.156148994959896,0.0323795030127222,-0.0012697844318714624,0.0007586009642108,23.223866417231267,3.1451804747780936,-0.003514950843412455,-0.0119783968463187,0.0005457845365061,-7.513286281886635,30.2,3.407841924380824,8.05,2.0856720914304723,0
2016-03-01,AZ,121.0,119.0,3156053.0,5.6,23.6,2397.8,3.1612467120315646,0.037705323706541,0.0006337029194376647,0.0007597464301138,23.26961189516129,3.147148298840835,-0.002550763379710463,-0.008692598384552637,0.0006846254754639,-7.286638620372544,30.2,3.407841924380824,8.05,2.0856720914304723,0
2016-04-01,AZ,108.0,121.0,3161164.0,5.6,23.81,2412.3,3.170105660498771,0.0382770397233424,-0.004112409226474805,0.000763104982848,23.387084379393453,3.1521839203848323,0.0034994400895856665,0.01192553864914902,0.000610082687444,-7.401916056796429,30.2,3.407841924380824,8.05,2.0856720914304723,0
2016-05-01,AZ,117.0,108.0,3166155.0,5.6,24.01,2398.1,3.178470410233162,0.0341107747409713,0.0028425645617476086,0.0007574171195029,23.527909725034128,3.1581873643280685,-0.0012697844318714624,-0.004327224621857655,0.0006598810589771,-7.3234509528552625,30.2,3.407841924380824,8.05,2.0856720914304723,0
2016-06-01,AZ,106.0,108.0,3171328.0,5.5,23.63,2338.2,3.1625170911988163,0.0340551340006457,-0.0006306506296415886,0.0007372936511139,23.09143879411544,3.1394619338596876,0.0006337029194376647,0.0021595593764621975,0.0006077178794728,-7.405799797710923,30.2,3.407841924380824,8.05,2.0856720914304723,0
2016-07-01,AZ,120.0,115.0,3176533.0,5.5,23.78,2331.4,3.1688448912626357,0.0362029923819459,0.0015740431470411295,0.0007339448386023,23.249730988209134,3.1462935615668206,-0.004112409226474805,-0.014014440572191355,0.0006868551914361,-7.283387071895747,30.2,3.407841924380824,8.05,2.0856720914304723,0
2016-08-01,AZ,118.0,103.0,3181636.0,5.4,24.28,2380.0,3.1896529661912973,0.0323732821730707,0.004714555656272434,0.0007480428307952,23.694764638633107,3.1652541224152966,0.0028425645617476086,0.009687010686282704,0.0006868118116545,-7.28345023098968,30.2,3.407841924380824,8.05,2.0856720914304723,0
2016-09-01,AZ,126.0,101.0,3186647.0,5.4,24.25,2420.7,3.188416617383492,0.0316947562751694,0.007845236701774625,0.0007596385793594,23.603570628918302,3.1613979984227223,-0.0006306506296415886,-0.0021491576553297697,0.0007322220921656,-7.219426685422973,30.2,3.407841924380824,8.05,2.0856720914304723,0
2016-10-01,AZ,111.0,85.0,3191461.0,5.4,24.46,2445.4,3.1970391302590264,0.0266335700169922,0.00814673906402115,0.0007662321425829,23.75232840105733,3.1676805636145016,0.0015740431470411295,0.005364090227271091,0.0006440797977965,-7.347687929914121,30.2,3.407841924380824,8.05,2.0856720914304723,0
